{ id = 27, name = 草地 },
{ id = 28, name = 草地 },
{ id = 29, name = 树林 },
{ id = 52, name = 草地 },
{ id = 53, name = 密林 },
{ id = 54, name = 密林 },
{ id = 55, name = 密林 },
{ id = 56, name = 密林 },
{ id = 57, name = 密林 },
{ id = 60, name = 草地 },
{ id = 61, name = 树林 },
{ id = 62, name = 密林 },
{ id = 63, name = 密林 },
{ id = 78, name = 草地 },
{ id = 79, name = 树林 },
{ id = 80, name = 树林 },
{ id = 368, name = 树林 },
{ id = 390, name = 树林 },
{ id = 558, name = 树林外 },
{ id = 570, name = 大森林 },
{ id = 571, name = 黑森林 },
{ id = 588, name = 密林 },
{ id = 622, name = 高黎山密林 },
{ id = 716, name = 草地 },
{ id = 718, name = 草地 },
{ id = 719, name = 草地 },
{ id = 771, name = 草地 },
{ id = 772, name = 草地 },
{ id = 773, name = 草地 },
{ id = 1102, name = 柏树林 },
{ id = 1103, name = 柏树林 },
{ id = 1105, name = 柏树林 },
{ id = 1106, name = 柏树林 },
{ id = 1122, name = 树林 },
{ id = 1124, name = 树林 },
{ id = 1127, name = 树林 },
{ id = 1152, name = 树林 },
{ id = 1153, name = 树林 },
{ id = 1154, name = 树林 },
{ id = 1166, name = 小树林 },
{ id = 1167, name = 小树林 },
{ id = 1168, name = 小树林 },
{ id = 1169, name = 小树林 },
{ id = 1170, name = 小树林 },
{ id = 1171, name = 小树林 },
{ id = 1172, name = 小树林 },
{ id = 1173, name = 草地 },
{ id = 1174, name = 草地 },
{ id = 1544, name = 松树林 },
{ id = 1545, name = 松树林 },
{ id = 1546, name = 松树林 },
{ id = 1547, name = 松树林 },
{ id = 1548, name = 松树林 },
{ id = 1549, name = 松树林 },
{ id = 1550, name = 松树林 },
{ id = 1551, name = 松树林 },
{ id = 1552, name = 松树林 },
{ id = 1589, name = 密林 },
{ id = 1590, name = 密林 },
{ id = 1591, name = 密林 },
{ id = 1642, name = 大森林 },
{ id = 1646, name = 草地 },
{ id = 1661, name = 密林 },
{ id = 1663, name = 密林 },
{ id = 1733, name = 小树林 },
{ id = 1734, name = 小树林 },
{ id = 1735, name = 小树林 },
{ id = 1736, name = 小树林 },
{ id = 1882, name = 巨木旗树林 },
{ id = 1883, name = 巨木旗树林 },
{ id = 1884, name = 巨木旗树林 },
{ id = 1885, name = 巨木旗树林 },
{ id = 1886, name = 巨木旗树林 },
{ id = 1887, name = 巨木旗树林 },
{ id = 1911, name = 草地 },
{ id = 2031, name = 树林 },
{ id = 2032, name = 树林 },
{ id = 2178, name = 草地 },
{ id = 2203, name = 草地 },
{ id = 2263, name = 松树林 },
{ id = 2264, name = 松树林 },
{ id = 2265, name = 松树林 },
{ id = 2266, name = 松树林 },
{ id = 2267, name = 松树林 },
{ id = 2285, name = 星宿海 },
{ id = 2286, name = 星宿海 },
{ id = 2288, name = 星宿海 },
{ id = 2296, name = 星宿海 },
{ id = 2297, name = 星宿海 },
{ id = 2381, name = 松树林 },
{ id = 2382, name = 松树林 },
{ id = 2384, name = 中条山森林 },
{ id = 2385, name = 中条山密林 },
{ id = 2412, name = 树林 },
{ id = 2413, name = 树林 },
{ id = 2414, name = 树林 },
{ id = 2415, name = 树林 },
{ id = 2416, name = 树林 },
{ id = 2417, name = 树林 },
{ id = 2513, name = 柳树林 },
{ id = 2514, name = 柳树林 },
{ id = 2515, name = 柳树林 },
{ id = 2516, name = 柳树林 },
{ id = 2618, name = 树林 },
{ id = 2619, name = 树林 },
{ id = 2620, name = 树林 },
{ id = 2621, name = 树林 },
{ id = 2624, name = 树林 },
{ id = 2647, name = 松树林 },
{ id = 2648, name = 松树林 },
{ id = 2649, name = 松树林 },
{ id = 2650, name = 松树林 },
{ id = 2698, name = 树林外 },
{ id = 2756, name = 树林 },
{ id = 2757, name = 树林 },
{ id = 2758, name = 树林 },
{ id = 2780, name = 树林 },
{ id = 2781, name = 树林 },
{ id = 2782, name = 树林 },
{ id = 2783, name = 树林 },
{ id = 2784, name = 树林 },
{ id = 2785, name = 树林 },
{ id = 2786, name = 树林 },
{ id = 2796, name = 草地 },
{ id = 2896, name = 树林 },
{ id = 2897, name = 树林 },
{ id = 2902, name = 树林 },
{ id = 2903, name = 树林 },
{ id = 2904, name = 树林 },
{ id = 2905, name = 树林 },
{ id = 2925, name = 草地 },
{ id = 2928, name = 草地 },
